Y1,YY1,INCOME,DEBT,LIQ,ASSET,NETWORTH,CCBAL,CONSPAY,FOODHOME,FOODAWAY,AGE,EDUC,FAMSTRUCT,HOUSECL,FINLIT,DEBT2INC,EXPENSHILO,WGT
011241,1124,23654.19,6917.96,72908.52,203531.41,196613.45,0.0,118.51,8976.0,3105.41,56,16,2,1,3,0.2925,2,20803.8
011251,1125,287819.37,173966.64,17192.63,2425201.93,2251235.29,2242.5,4890.96,3104.73,4825.94,39,17,1,1,2,0.6044,1,42930.5
011261,1126,23583.18,12944.96,6166.69,217072.06,204127.1,240.88,286.52,7181.41,1901.72,62,12,4,1,1,0.5489,3,11240.7
011271,1127,86887.71,85520.94,35665.31,72984.43,-12536.51,510.26,2100.08,7515.09,1133.93,39,15,2,1,1,0.9843,3,31367.64
011281,1128,33562.07,30755.51,518188.78,571769.5,541013.98,575.28,600.05,6969.75,5850.01,60,15,5,1,3,0.9164,3,40090.66
011291,1129,62459.62,21424.78,599.4,12916.86,-8507.92,196.46,587.23,3598.7,0.0,41,9,1,2,0,0.343,3,3192.01
011301,1130,88955.02,29611.62,1156.65,2025091.1,1995479.47,0.0,256.78,6634.9,896.0,25,13,1,2,2,0.3329,3,23292.49
011311,1131,88364.14,45030.12,617571.15,1281416.56,1236386.44,405.25,731.5,5277.88,7831.99,29,16,2,1,1,0.5096,3,15311.47
011321,1132,96734.82,54492.77,10594.08,78428.13,23935.36,0.0,1085.81,7156.92,0.0,72,17,1,2,1,0.5633,3,40518.73
011331,1133,282756.15,30397.17,6929.66,1584237.69,1553840.52,2948.47,815.77,5826.23,2624.73,29,16,1,1,0,0.1075,3,46408.88
011341,1134,99526.66,11291.73,3993.03,158593.59,147301.86,664.35,143.41,4862.1,2202.37,42,17,4,1,3,0.1135,2,11142.61
011351,1135,53117.36,26097.98,43268.7,74642.56,48544.58,19334.44,131.23,10563.25,0.0,40,15,1,1,0,0.4913,1,11446.14
011361,1136,157578.41,59141.96,540497.43,773703.74,714561.78,1280.22,1736.43,4513.35,1493.31,23,12,3,1,1,0.3753,3,48208.58
011371,1137,193015.05,66258.37,1484.24,110360.28,44101.91,7064.62,374.32,6558.8,4030.27,57,14,3,1,2,0.3433,3,27062.69
011381,1138,21919.96,12322.29,4128.3,214532.39,202210.1,0.0,108.55,7103.69,5009.62,70,13,1,2,2,0.5621,1,7596.91
011391,1139,113284.78,40571.02,2614.14,10294.04,-30276.98,0.0,630.93,5413.36,5706.89,88,12,2,1,3,0.3581,1,6574.38
011401,1140,124374.87,69607.21,18382.55,36139.43,-33467.78,4193.13,1211.81,8278.35,2752.64,82,16,1,2,1,0.5597,3,48322.41
011411,1141,50624.6,3022.34,44369.53,602699.96,599677.62,878.3,78.16,7726.44,0.0,22,15,2,2,3,0.0597,3,23302.52
011421,1142,228236.15,40280.18,90914.88,849876.31,809596.13,385.74,652.36,2626.56,3603.52,38,16,1,2,3,0.1765,2,47281.33
011431,1143,57811.9,24863.5,19537.54,519690.42,494826.92,2531.11,464.59,7237.86,6248.98,47,12,1,1,2,0.4301,3,30113.18
011441,1144,74088.74,18570.31,458079.96,2127472.47,2108902.16,1339.04,185.7,9545.77,6551.76,76,17,2,2,1,0.2506,2,36942.45
011451,1145,56626.67,46191.96,1746.63,144097.82,97905.86,5334.26,888.22,4475.94,5464.89,44,12,1,1,1,0.8157,1,16114.92
011461,1146,67105.49,42232.61,1094.25,129201.75,86969.14,0.0,578.99,3245.21,773.81,55,15,4,2,1,0.6293,1,6173.64
011471,1147,24670.23,31968.86,69204.4,84421.72,52452.86,970.83,238.75,5395.69,3110.9,60,10,1,2,2,1.2958,1,39949.75
011481,1148,18105.2,1151.22,6130.91,31195.28,30044.07,51.48,33.0,5935.7,3959.93,41,14,3,1,1,0.0636,1,10908.44
011491,1149,277910.54,50264.76,412.94,3446.86,-46817.91,812.73,353.97,6062.92,4284.31,56,10,4,1,3,0.1809,2,36668.0
011501,1150,30876.01,1164.94,2782.45,39749.08,38584.15,2511.85,25.57,8094.42,0.0,23,12,5,1,2,0.0377,3,6550.76
011511,1151,27112.41,24553.14,7786.8,10517.22,-14035.91,246.88,680.24,4612.0,7612.43,50,16,3,1,2,0.9056,2,30040.09
011521,1152,9527.61,5889.87,1535.72,304523.95,298634.08,3221.23,55.84,7062.0,6139.05,45,16,4,1,2,0.6182,3,38398.84
011531,1153,37232.39,16360.01,791.25,108006.98,91646.97,3341.45,178.78,7541.32,3494.55,44,16,2,2,1,0.4394,3,3900.19
011541,1154,20114.96,8733.63,3382.15,6248.36,-2485.27,556.8,136.84,6204.88,3755.56,37,13,2,2,2,0.4342,3,21254.93
011551,1155,290051.46,27273.45,723.31,45758.73,18485.28,2721.39,337.17,4751.93,2500.72,71,14,2,1,0,0.094,2,30654.28
011561,1156,164199.16,62652.92,15417.15,1161067.97,1098415.05,2801.62,1502.16,3686.55,5972.08,76,12,3,2,3,0.3816,3,40520.01
011571,1157,35620.08,4225.38,148.58,49736.42,45511.04,0.0,56.85,2928.05,1185.46,77,15,3,1,2,0.1186,3,15127.57
011581,1158,502420.26,2710.78,5783.5,19175.92,16465.14,9188.55,80.36,3060.19,3727.22,46,12,4,1,0,0.0054,3,41362.74
011591,1159,160105.61,151011.92,12520.44,16632.78,-134379.15,0.0,3997.24,2780.83,1825.29,38,12,3,2,2,0.9432,3,33451.81
011601,1160,49397.34,8561.69,4175.65,8476.34,-85.35,1565.79,234.45,9049.25,3464.71,27,14,5,1,1,0.1733,2,19297.71
011611,1161,6978.12,1903.24,35164.81,168866.98,166963.74,6434.71,12.55,5637.61,5838.0,61,11,4,2,3,0.2727,2,17079.15
011621,1162,520137.42,9247.23,416.96,31648.73,22401.5,0.0,87.0,10085.32,2213.82,42,15,5,2,3,0.0178,3,35994.81
011631,1163,18946.69,17047.25,1391.36,36757.45,19710.21,1658.28,157.42,6736.95,3862.13,39,12,4,2,3,0.8997,2,37031.56
011641,1164,15050.12,10656.46,2713.35,34139.0,23482.54,0.0,232.3,2927.12,3244.54,45,14,4,1,2,0.7081,3,32941.52
011651,1165,166094.7,143678.8,17728.06,66243.64,-77435.17,0.0,761.18,5603.79,2031.14,54,13,5,1,3,0.865,2,23873.93
011661,1166,594679.07,87064.38,7283.11,16785.09,-70279.29,0.0,2190.6,7251.89,2264.81,32,14,3,1,1,0.1464,3,4036.14
011671,1167,230002.52,33420.77,232828.82,329026.2,295605.44,1824.75,624.17,6621.96,2287.0,84,12,1,1,0,0.1453,3,29978.33
011681,1168,109921.11,38868.11,1152.38,8238.84,-30629.27,0.0,744.63,5126.86,0.0,65,12,1,1,3,0.3536,1,31772.85
011691,1169,113015.35,5378.35,399.02,19667.7,14289.35,0.0,99.14,7777.05,3186.65,22,11,2,2,3,0.0476,1,14290.85
011701,1170,142639.25,23691.55,123051.74,395782.82,372091.27,0.0,435.54,3894.04,3655.65,41,16,4,1,3,0.1661,3,12550.97
011711,1171,131010.89,67419.95,374.07,105646.57,38226.62,0.0,670.64,6342.9,468.51,23,10,1,1,3,0.5146,3,43621.38
011721,1172,85226.89,113578.18,16806.36,184270.21,70692.03,0.0,1371.97,7577.55,2593.93,36,13,1,2,2,1.3327,3,11453.11
011731,1173,72677.05,6986.11,844.2,1507770.53,1500784.42,882.6,120.09,5248.54,3048.64,40,13,1,2,2,0.0961,2,12859.93
011741,1174,62546.54,14215.52,118.54,54867.79,40652.27,848.94,311.98,6985.86,5116.38,64,12,1,2,2,0.2273,2,32273.53
011751,1175,33571.47,19196.19,2503.36,64336.23,45140.04,1387.45,226.49,5739.18,6950.33,64,13,4,2,3,0.5718,3,17998.7
011761,1176,51399.95,12.45,24812.43,65088.73,65076.28,0.0,0.31,6391.61,4286.88,22,13,1,2,0,0.0002,1,23733.75
011771,1177,14419.53,3731.96,545.01,31332.97,27601.01,3444.74,94.29,6827.44,745.73,56,12,4,1,2,0.2588,2,27914.54
011781,1178,60566.33,8812.4,13862.89,27012.05,18199.66,2770.44,104.4,5402.73,1650.75,84,15,1,2,0,0.1455,2,46757.81
011791,1179,27180.85,6240.88,19402.45,87323.22,81082.34,731.52,118.59,8771.33,3646.95,58,9,2,1,2,0.2296,3,15245.84
011801,1180,24508.36,3470.82,498.18,102482.35,99011.54,0.0,47.63,6508.13,2595.03,84,12,1,1,0,0.1416,2,5092.37
011811,1181,77800.62,10235.21,3261.78,114136.43,103901.22,0.0,99.97,7100.82,3420.0,45,15,1,2,2,0.1316,3,8444.9
011821,1182,231608.11,23888.78,84013.66,149956.64,126067.86,407.64,600.8,8265.81,5156.55,49,15,3,1,2,0.1031,2,5425.93
011831,1183,151219.08,72211.89,15852.25,256059.22,183847.33,718.45,2150.98,7176.95,3156.9,51,12,2,1,2,0.4775,1,38444.53
011841,1184,16099.6,5050.77,3069.63,65646.76,60595.99,2328.61,96.69,4094.97,8393.56,80,15,2,1,3,0.3137,2,49103.57
011851,1185,27155.49,7392.14,10378.92,42783.24,35391.1,1239.39,205.86,7441.86,344.44,45,14,1,2,2,0.2722,3,6770.24
011861,1186,154306.18,7829.09,1431.57,16337.55,8508.46,5715.9,164.84,6505.28,4577.88,87,14,3,1,3,0.0507,1,16373.25
011871,1187,27330.58,9855.01,36484.84,42348.55,32493.54,2048.02,188.66,4593.47,163.46,54,12,4,2,3,0.3606,3,43127.74
011881,1188,54058.94,18831.28,36456.25,571777.74,552946.46,7405.73,320.2,8280.88,1794.57,35,17,1,2,3,0.3483,3,45181.76
011891,1189,108558.76,42626.99,6109.69,27091.64,-15535.35,322.18,464.33,3940.81,5182.97,27,15,2,2,2,0.3927,2,13165.37
011901,1190,27680.68,15601.05,7444.8,22380.35,6779.3,3313.23,110.87,4895.04,0.0,32,12,2,1,0,0.5636,3,46189.94
011911,1191,72753.91,45246.86,814.17,32820.61,-12426.25,0.0,726.59,5159.25,4094.19,22,12,5,1,3,0.6219,1,30161.15
011921,1192,19917.96,25868.79,431.1,39866.4,13997.61,1039.88,492.35,3448.6,1012.51,62,16,1,1,2,1.2988,3,49766.76
011931,1193,38513.69,24721.56,2495.17,701748.69,677027.14,437.46,438.47,5963.71,3360.2,52,13,5,1,1,0.6419,1,4056.56
011941,1194,88238.95,34616.39,4199.32,40798.43,6182.05,1829.98,775.04,4672.86,2240.27,65,10,4,1,3,0.3923,3,39939.63
011951,1195,15776.96,514.41,33280.59,3143100.41,3142586.0,9758.4,5.04,6452.78,3528.16,68,9,1,1,1,0.0326,1,5598.44
011961,1196,98363.71,60621.79,25857.86,91734.94,31113.15,3010.96,839.92,9453.11,4295.04,81,13,2,2,2,0.6163,1,37518.17
011971,1197,65011.92,28659.58,6854.76,1316860.89,1288201.31,3098.28,441.05,5921.46,5617.44,28,13,3,1,3,0.4408,1,47366.87
011981,1198,108797.21,5320.05,41897.03,270763.48,265443.43,3339.67,51.41,6963.95,3778.11,33,15,3,1,3,0.0489,1,18357.81
011991,1199,80944.8,83866.8,899.4,103803.84,19937.04,0.0,2319.89,5961.26,4731.14,54,14,3,1,0,1.0361,1,18927.46
012001,1200,225872.6,32008.38,34173.52,672606.64,640598.26,0.0,705.39,5368.79,3365.25,29,16,2,2,1,0.1417,3,14247.29
012011,1201,74065.27,18909.06,1184.68,323519.05,304609.98,242.24,137.97,7461.04,814.67,26,12,5,1,3,0.2553,3,23270.87
012021,1202,44960.29,35328.02,45773.02,200903.0,165574.99,1138.77,806.18,4122.3,1221.55,61,15,1,1,2,0.7858,1,25221.98
012031,1203,73870.42,6277.67,4798.11,1941294.69,1935017.02,0.0,117.36,7993.77,6483.47,64,16,1,2,3,0.085,3,29877.68
012041,1204,107900.87,157300.94,134.7,28485.52,-128815.42,3203.7,2846.91,4452.29,1058.72,73,10,5,1,2,1.4578,1,35355.67
012051,1205,69145.9,11367.8,18293.17,31755.21,20387.41,16259.9,338.13,8696.56,3881.05,80,15,3,1,3,0.1644,3,32036.86
012061,1206,68633.26,43148.54,21103.25,42815.98,-332.56,566.79,882.6,5265.21,3848.98,48,15,3,2,1,0.6287,2,7649.65
012071,1207,35179.1,20192.08,2160.63,831520.79,811328.71,0.0,553.63,4350.28,3736.15,87,16,4,1,1,0.574,3,32710.78
012081,1208,36438.79,20997.81,2519.29,530143.74,509145.92,0.0,584.55,6203.61,5545.55,21,12,2,2,3,0.5762,1,12057.26
012091,1209,18725.76,22136.89,3687.92,30918.81,8781.92,0.0,166.81,2854.45,2209.04,75,13,2,1,1,1.1822,1,28133.04
012101,1210,319534.03,77117.9,153.66,1904.8,-75213.1,500.72,401.71,3852.11,3076.81,42,12,5,1,3,0.2413,1,30614.6
012111,1211,21601.61,16888.65,69.65,44038.31,27149.66,0.0,268.22,6948.16,2818.24,80,12,2,1,3,0.7818,1,23504.53
012121,1212,35467.97,5314.65,51170.89,64267.44,58952.78,1452.19,128.79,8354.34,0.0,36,17,1,1,3,0.1498,1,22633.77
012131,1213,34663.19,25941.62,1115.08,29656.05,3714.43,0.0,664.23,4824.62,1978.59,65,13,2,1,2,0.7484,3,22989.34
012141,1214,148068.75,33603.52,138617.75,150930.45,117326.93,1827.81,829.58,8550.27,5631.21,48,16,5,1,0,0.2269,3,14041.25
012151,1215,50743.83,4357.21,57914.51,63269.01,58911.8,5918.69,70.51,5174.01,7547.75,45,16,1,1,2,0.0859,3,40749.34
012161,1216,203407.75,3050.5,82532.84,1091872.18,1088821.67,6566.85,72.45,6364.28,5400.99,23,13,4,1,3,0.015,1,25828.81
012171,1217,36093.15,9161.89,1524.56,22996.4,13834.51,0.0,210.44,6381.29,4277.02,63,17,1,1,3,0.2538,3,26742.92
012181,1218,85058.52,28553.65,271.75,498593.73,470040.09,3769.01,366.79,9061.49,749.28,33,16,4,1,1,0.3357,3,11677.23
012191,1219,31200.45,25146.87,694.79,43651.31,18504.44,0.0,231.8,7768.67,3870.74,50,14,2,2,2,0.806,3,25349.37
012201,1220,456176.11,87761.35,2200.37,13179.97,-74581.38,0.0,1802.22,5593.42,3697.46,30,12,3,1,2,0.1924,2,23550.63
012211,1221,22723.65,3114.77,68.59,128558.11,125443.34,6231.25,68.3,10870.66,8182.3,57,10,1,1,3,0.1371,2,22459.16
012221,1222,87451.41,26907.12,2088.57,35391.97,8484.84,0.0,516.6,5886.67,6.43,36,14,1,1,3,0.3077,1,23968.37
012231,1223,117055.0,70273.25,3418.58,47304.48,-22968.77,1271.04,725.89,6030.65,998.05,56,13,1,1,3,0.6003,3,14564.95
012241,1224,96030.31,9986.56,478.21,74889.19,64902.64,1174.64,119.01,6664.92,5923.88,83,15,4,1,1,0.104,3,40360.72
012251,1225,56007.51,19278.11,755.31,18461.7,-816.42,670.54,437.85,5158.55,6589.01,80,8,4,2,0,0.3442,1,12176.37
012261,1226,58874.38,3001.57,3304.11,8566.26,5564.7,0.0,87.24,8768.25,4162.51,34,16,1,2,1,0.051,3,28347.31
012271,1227,68832.43,88806.3,9333.04,64775.2,-24031.1,1677.39,2541.72,5808.8,2770.0,27,13,4,2,0,1.2902,3,18154.98
012281,1228,57971.0,41025.7,988.83,255188.81,214163.11,0.0,738.11,7294.94,4646.06,22,14,4,1,2,0.7077,3,36792.6
012291,1229,157548.91,130383.51,8316.98,23801.77,-106581.74,0.0,3541.74,1200.0,7855.63,72,12,1,1,1,0.8276,3,35485.96
012301,1230,483821.2,291138.38,6287.53,81716.25,-209422.14,1245.42,1670.05,6262.9,2204.89,38,17,4,1,0,0.6017,3,35820.87
012311,1231,40064.96,1478.35,5347.55,578129.7,576651.35,92.55,39.22,5327.52,4430.82,40,13,1,2,0,0.0369,2,44610.7
012321,1232,19286.82,8766.44,1519.86,53851.3,45084.87,589.64,148.19,6142.8,3096.1,36,16,2,2,2,0.4545,2,39696.14
012331,1233,61117.05,2654.11,445.82,68573.68,65919.57,0.0,65.13,3684.15,4238.95,73,12,2,1,3,0.0434,1,18493.0
012341,1234,674507.72,131934.05,104152.72,169196.67,37262.62,2681.08,678.08,5634.48,5057.2,87,10,3,1,3,0.1956,1,21499.64
012351,1235,32102.62,652.91,15283.83,36798.35,36145.44,0.0,17.44,6367.25,2326.83,66,15,2,1,0,0.0203,1,43767.21
012361,1236,289295.84,110789.95,30040.96,43534.52,-67255.43,3556.78,2201.89,5286.64,5461.32,71,17,1,2,3,0.383,1,41715.09
012371,1237,299518.28,55206.95,4227.92,17804.57,-37402.38,0.0,607.59,7194.06,2515.46,58,15,3,1,2,0.1843,1,46298.65
012381,1238,40205.96,9011.56,3658.3,107671.68,98660.12,385.7,123.34,6128.51,4645.11,53,15,5,1,2,0.2241,3,42415.82
012391,1239,110424.22,18259.62,11886.84,198502.89,180243.27,2206.66,182.9,7273.7,0.0,64,13,3,2,2,0.1654,3,9078.72
012401,1240,286518.09,121903.0,180.83,200491.21,78588.22,3283.23,1902.92,7953.31,5026.35,21,12,2,2,3,0.4255,1,18521.71
012411,1241,47041.48,17047.87,660.93,34595.37,17547.5,0.0,225.89,8113.07,1725.53,24,13,1,1,2,0.3624,1,16749.79
012421,1242,55092.99,5153.88,1169.12,309818.99,304665.11,2761.6,94.64,5235.72,2500.33,62,11,3,2,1,0.0935,2,20812.21
012431,1243,39202.16,23432.4,2168.48,97112.78,73680.38,6008.08,594.47,5205.9,0.0,43,12,3,1,3,0.5977,1,16739.93
012441,1244,26548.25,1617.24,1008.83,67585.76,65968.52,3901.11,47.8,9208.95,3050.48,51,14,3,1,2,0.0609,3,39887.91
012451,1245,36888.32,18562.96,8946.81,9346.61,-9216.34,0.0,209.51,4164.13,6156.62,68,11,5,1,1,0.5032,2,35937.83
012461,1246,21992.43,4783.94,5690.79,23259.69,18475.75,4672.4,36.66,5159.79,367.11,56,16,4,2,2,0.2175,1,12344.94
012471,1247,68232.42,31314.93,60304.16,66418.27,35103.34,0.0,466.33,5677.72,3889.06,70,8,4,1,3,0.4589,3,11451.92
012481,1248,33091.25,57022.74,422002.49,575372.74,518350.0,0.0,489.76,4286.12,0.0,47,12,2,1,1,1.7232,1,13245.57
012491,1249,81667.17,13630.67,506.17,69553.67,55923.0,0.0,352.43,6225.6,3199.84,40,14,1,2,3,0.1669,3,17761.05
012501,1250,16312.61,10360.25,6407.02,18399.32,8039.07,0.0,181.6,8430.21,5216.68,37,17,1,2,3,0.6351,2,35085.55
012511,1251,89124.74,31635.93,6386.53,100904.37,69268.44,7331.84,648.51,2174.77,3282.95,29,14,4,2,2,0.355,1,20338.32
012521,1252,140109.01,39189.6,4790.76,11868.86,-27320.74,753.65,343.51,4967.34,5061.09,21,12,3,1,0,0.2797,1,22938.04
012531,1253,10999.86,8101.05,697.37,13208.27,5107.21,3254.99,192.32,6238.82,2495.25,23,13,2,2,2,0.7365,3,4976.63
012541,1254,92656.18,3618.57,942.98,21576.41,17957.85,3528.75,106.17,9129.27,8668.69,39,12,1,1,2,0.0391,2,25565.67
012551,1255,199766.03,85434.74,7575.92,142195.01,56760.27,3109.66,1457.49,3012.51,5701.78,39,12,4,1,3,0.4277,3,23754.56
012561,1256,22277.29,7958.64,896.38,489429.49,481470.85,2421.78,231.29,7737.99,3918.93,45,11,2,2,1,0.3573,1,35129.18
012571,1257,298139.01,146584.78,6546.52,31405.83,-115178.95,1997.36,860.15,5673.41,6923.86,56,14,1,2,2,0.4917,3,12477.06
012581,1258,96482.52,6445.57,3156.73,438411.99,431966.43,1633.77,37.98,6324.84,6289.12,67,12,1,2,2,0.0668,1,36963.12
012591,1259,35083.61,2916.82,6342.22,70628.75,67711.92,7463.08,84.59,8455.42,2425.19,34,10,5,1,2,0.0831,3,36736.19
012601,1260,62931.86,16990.21,883.65,86207.32,69217.12,28.68,382.39,5736.62,4501.58,67,12,1,1,1,0.27,2,32252.98
012611,1261,109370.25,42598.92,6525.32,60934.77,18335.85,0.0,413.94,5934.72,2908.09,30,14,2,2,2,0.3895,3,19829.32
012621,1262,70855.99,1774.52,1006.55,45541.49,43766.97,2034.85,25.02,6269.98,5337.26,88,12,3,1,2,0.025,2,5758.35
012631,1263,107460.69,21676.42,6563.32,122285.79,100609.36,0.0,383.54,6402.7,6643.74,40,12,2,1,3,0.2017,1,14125.51
012641,1264,28894.13,9215.03,54770.83,236537.98,227322.96,1573.91,207.95,3822.61,540.25,73,15,2,1,2,0.3189,3,46717.19
012651,1265,77066.56,52950.01,7861.8,23746.05,-29203.96,18424.8,1379.38,6323.84,3738.23,34,15,4,1,2,0.6871,1,44324.12
012661,1266,18539.46,1050.71,8772.41,53845.89,52795.18,4476.76,7.42,6868.2,6424.9,83,12,5,1,2,0.0567,1,12267.83
012671,1267,59867.95,14635.21,21396.27,753672.17,739036.97,6296.68,313.4,2772.78,5020.81,72,14,2,1,1,0.2445,2,18100.8
012681,1268,29333.43,4221.25,392.92,78495.86,74274.61,1379.33,71.41,7728.77,4355.08,44,16,2,1,1,0.1439,3,3464.62
012691,1269,34133.11,130.64,108451.55,200497.28,200366.64,821.58,2.61,7830.33,5650.24,47,15,2,1,3,0.0038,2,17593.42
012701,1270,201286.36,22207.05,735.05,345598.15,323391.1,4382.93,393.36,6505.97,824.44,18,10,2,1,2,0.1103,2,40627.83
012711,1271,176694.78,125455.77,23942.01,52171.8,-73283.96,4944.16,2040.83,3310.92,4636.43,38,13,2,1,3,0.71,1,29845.32
012721,1272,114487.89,10305.42,18853.2,75753.68,65448.26,2394.85,104.47,4702.36,5967.21,40,15,2,1,3,0.09,3,43837.92
012731,1273,24758.36,8907.28,968.84,204844.86,195937.58,6788.41,149.72,1348.69,4638.88,49,12,2,2,1,0.3598,2,48190.02
012741,1274,49773.22,1587.58,30212.02,414194.94,412607.36,10263.46,15.47,5284.62,1061.18,30,12,5,2,1,0.0319,1,13396.79
012751,1275,197163.37,2522.11,12040.88,13764.68,11242.57,0.0,15.42,4173.04,2746.33,50,15,1,2,2,0.0128,1,29071.85
012761,1276,75172.84,16336.53,147555.78,167386.69,151050.15,0.0,234.36,5864.09,3522.07,61,12,3,2,0,0.2173,1,38492.15
012771,1277,533597.23,96397.67,6961.02,20353.55,-76044.13,2183.92,542.13,8002.97,1861.64,45,12,2,2,3,0.1807,1,32217.61
012781,1278,94276.39,10215.33,4042.51,53767.48,43552.15,13678.65,194.74,4995.35,1697.34,36,14,4,2,1,0.1084,1,15232.26
012791,1279,78656.39,47072.37,1945.8,16948.58,-30123.79,1039.86,320.55,6822.23,4482.43,54,16,2,1,3,0.5985,1,48926.55
012801,1280,50100.95,37060.91,213.14,162343.87,125282.96,2883.86,590.71,5824.83,6794.85,21,14,1,1,2,0.7397,1,34695.35
012811,1281,74621.71,39172.87,2771.63,80316.77,41143.9,0.0,1155.74,4192.18,0.0,43,16,5,1,1,0.525,3,3477.33
012821,1282,57686.42,2209.23,2991.06,230236.34,228027.12,722.12,11.59,8818.34,2533.98,53,11,3,2,2,0.0383,2,27263.06
012831,1283,125153.69,100909.88,7877.02,257950.96,157041.08,2663.54,1430.03,7654.92,2055.27,43,16,2,2,2,0.8063,3,10798.75
012841,1284,156534.56,109195.63,379.33,166194.51,56998.88,1132.85,2383.91,3782.92,6502.09,43,14,4,1,3,0.6976,1,36986.81
012851,1285,32617.67,15029.44,3196.39,39378.29,24348.85,5776.76,134.86,6896.95,4946.37,73,16,5,1,2,0.4608,1,6058.48
012861,1286,19968.08,900.57,13866.8,83878.4,82977.83,3763.21,17.13,5584.92,6283.04,81,12,2,2,3,0.0451,3,19011.08
012871,1287,12675.36,15114.31,16579.42,46571.51,31457.2,5250.7,173.13,7025.11,5271.61,72,14,2,1,2,1.1924,1,17734.55
012881,1288,104526.11,45030.51,172.83,7903.09,-37127.42,0.0,475.94,3317.77,5862.48,27,16,4,1,3,0.4308,3,44899.44
012891,1289,24513.27,23199.57,17527.6,267894.26,244694.69,105.56,635.08,5303.31,4073.36,40,16,2,1,0,0.9464,1,44059.55
012901,1290,9531.89,339.42,3153.18,55934.0,55594.57,0.0,3.42,6707.44,4451.69,64,13,1,2,3,0.0356,3,41696.96
012911,1291,93875.13,27386.09,3522.69,9808.7,-17577.39,1466.97,394.74,3824.6,4549.63,86,16,2,1,2,0.2917,2,38074.56
012921,1292,623871.42,678172.75,69.68,134046.8,-544125.95,0.0,6266.27,6517.94,3566.51,37,15,4,1,2,1.087,2,47860.93
012931,1293,65810.6,11832.85,72289.06,115079.78,103246.93,289.19,143.14,5330.24,3510.16,78,13,4,2,2,0.1798,3,11985.25
012941,1294,140736.09,86485.86,6756.35,9481.54,-77004.32,0.0,1066.17,6087.82,4449.83,65,17,5,1,2,0.6145,2,41537.53
012951,1295,71228.37,3119.77,312.11,7938.78,4819.01,488.01,41.09,8039.07,4399.13,87,9,1,2,3,0.0438,3,34652.11
012961,1296,60536.35,30564.85,9656.27,30589.29,24.44,2508.92,642.68,11413.0,3922.66,26,13,1,2,2,0.5049,3,35966.84
012971,1297,151322.54,83956.1,9136.76,91242.9,7286.8,3898.22,1978.41,6155.95,3861.46,46,12,1,1,1,0.5548,2,23062.63
012981,1298,50957.79,53418.98,44381.57,239630.38,186211.4,2297.53,949.08,5623.63,4923.75,50,17,5,2,3,1.0483,2,33654.56
012991,1299,84174.99,7202.94,2814.56,188285.48,181082.54,7020.85,145.95,9862.38,3244.84,61,10,1,1,2,0.0856,1,14158.34
013001,1300,88391.23,5940.1,5022.05,152922.46,146982.36,507.28,150.47,8267.11,1058.56,60,15,3,1,2,0.0672,3,27920.29
013011,1301,36269.0,6291.87,1545.26,58411.46,52119.59,0.0,188.69,9552.7,3911.69,79,15,3,2,3,0.1735,2,48622.63
013021,1302,161593.32,11598.48,14419.08,807236.68,795638.21,0.0,190.36,6476.49,1703.88,73,12,3,2,2,0.0718,3,35183.14
013031,1303,56530.54,36996.54,1199.57,172265.93,135269.39,0.0,1051.1,7632.81,5577.31,23,11,3,1,2,0.6545,3,34746.19
013041,1304,33517.71,9694.09,984.98,84531.43,74837.34,8075.32,167.31,6096.68,2326.07,51,9,2,1,3,0.2892,3,14060.22
013051,1305,107243.67,90032.39,4350.14,144417.99,54385.59,1532.46,2210.29,6112.96,2499.28,47,12,1,1,0,0.8395,2,42518.28
013061,1306,29477.39,11455.02,541.01,33448.24,21993.21,1094.76,221.43,6221.01,4329.8,89,16,4,2,1,0.3886,1,46398.63
013071,1307,67870.93,45024.54,87889.55,142837.11,97812.57,982.66,1220.21,6832.81,3476.61,48,17,1,1,3,0.6634,1,8092.4
013081,1308,65630.31,6022.97,157799.44,160435.57,154412.6,5892.5,97.68,6148.85,5864.81,62,17,1,2,3,0.0918,1,24264.62
013091,1309,175835.82,95496.33,2172.29,35691.65,-59804.68,3441.28,2138.68,8777.21,3081.74,40,13,1,1,1,0.5431,1,34294.91
013101,1310,101440.57,2237.9,405.1,839292.71,837054.81,6375.65,37.28,7151.09,2911.61,58,15,1,1,1,0.0221,3,44525.07
013111,1311,64697.36,33620.62,9007.98,83807.21,50186.58,0.0,888.45,6402.91,1973.56,35,16,2,1,3,0.5197,1,28234.37
013121,1312,138135.4,33180.81,2063.62,72334.28,39153.47,0.0,990.75,6322.63,1129.36,57,16,5,1,2,0.2402,3,22743.63
013131,1313,231234.31,143638.56,40718.02,308494.03,164855.47,0.0,1591.93,5149.67,2447.26,75,10,2,1,3,0.6212,1,4844.66
013141,1314,109319.41,23900.27,1191.7,103601.54,79701.28,6821.72,402.92,3830.63,4322.94,20,12,2,1,3,0.2186,1,28916.42
013151,1315,66790.58,25957.9,13096.81,31499.91,5542.0,1443.89,182.52,8001.71,6067.12,52,17,1,1,0,0.3886,1,18477.56
013161,1316,20319.73,7371.63,6034.14,68071.14,60699.51,0.0,62.84,7991.9,5202.15,87,15,5,2,3,0.3628,3,49677.18
013171,1317,25371.9,9676.89,1454.95,12362.08,2685.18,0.0,273.17,3786.01,2359.11,31,16,5,2,3,0.3814,3,31110.86
